PrimKey,LANAME,SCHOOL NAME,STREET,TOWN,POSTCODE,SCHOOLTYPE,GENDER
1,Hampshire,Alton Infant School,Normandy Street,Alton,GU34 1DH,Community school,Mixed
2,Hampshire,Anstey Junior School,Eastbrooke Road,Alton,GU34 2DR,Community school,Mixed
3,Hampshire,Balksbury Junior School,Floral Way,Andover,SP10 3QP,Community school,Mixed
4,Hampshire,Portway Junior School,Upper Drove,Andover,SP10 3NA,Community school,Mixed
5,Hampshire,Anton Junior School,Barlows Lane,Andover,SP10 2HA,Community school,Mixed
6,Hampshire,Ashley Infant School,Lower Ashley Road,New Milton,BH25 5AA,Community school,Mixed
7,Hampshire,Awbridge Primary School,Danes Road,Romsey,SO51 0HL,Community school,Mixed
8,Hampshire,Portway Infant School,Ashfield Road,Andover,SP10 3PE,Community school,Mixed
9,Hampshire,Winklebury Junior School,Willoughby Way,Basingstoke,RG23 8AF,Community school,Mixed
10,Hampshire,Oakridge Infant School,Oakridge Road,Basingstoke,RG21 5RR,Community school,Mixed
11,Hampshire,South View Junior School,Shooters Way,Basingstoke,RG21 5LL,Community school,Mixed
12,Hampshire,Beaulieu Village Primary School,High Street,Brockenhurst,SO42 7YD,Community school,Mixed
13,Hampshire,Stoke Park Infant School,Abbotsbury Road,Eastleigh,SO50 8NZ,Community school,Mixed
14,Hampshire,Bishops Waltham Infant School,Oak Road,Southampton,SO32 1EP,Community school,Mixed
15,Hampshire,Bordon Infant School,Budds Lane,Bordon,GU35 0JB,Community school,Mixed
16,Hampshire,Braishfield Primary School,Common Hill Road,Romsey,SO51 0QF,Community school,Mixed
17,Hampshire,Broughton Primary School,School Lane,Stockbridge,SO20 8AN,Community school,Mixed
18,Hampshire,Burghclere Primary School,Church Lane,Newbury,RG20 9HT,Community school,Mixed
19,Hampshire,Buriton Primary School,High Street,Petersfield,GU31 5RX,Community school,Mixed
20,Hampshire,Burley Primary School,Church Lane,Ringwood,BH24 4AP,Community school,Mixed
21,Hampshire,Stoke Park Junior School,Underwood Road,Eastleigh,SO50 6GR,Community school,Mixed
22,Hampshire,Chandler's Ford Infant School,Kings Road,Eastleigh,SO53 2EY,Community school,Mixed
23,Hampshire,Merdon Junior School,Merdon Avenue,Eastleigh,SO53 1EJ,Community school,Mixed
24,Hampshire,Cheriton Primary School,Cheriton,Alresford,SO24 0QA,Community school,Mixed
25,Hampshire,North Baddesley Infant School,Botley Road,Southampton,SO52 9EE,Community school,Mixed
26,Hampshire,Clanfield Junior School,Little Hyden Lane,Waterlooville,PO8 0RE,Community school,Mixed
27,Hampshire,Cliddesden Primary School,Cliddesden,Basingstoke,RG25 2QU,Community school,Mixed
28,Hampshire,Crondall Primary School,Croft Lane,Farnham,GU10 5QG,Community school,Mixed
